mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
4d6dc895d6d11a319013c3203373ed8933d27926,0,1,1,0,0,59.5,10.86,2.5,2.0,4.5,2.83,7,8.0,3.87,84.5,18.28,1648.0,297.09,8
051c17953d1b9b8ec87c6cbfbe1a3fe80a10a807,0,0,0,0,0,12.0,4.8,2.5,2.0,1.0,1.0,0,2.0,1.73,29.0,17.66,285.5,131.33,1
a72f367ad7c1fb6e95b4d7e342d066781b0455f6,0,0,0,0,0,39.5,8.83,2.5,2.0,1.0,1.0,0,4.0,2.65,65.0,16.0,951.0,156.71,0
f11992bd910c8da4732d284973cd864f4a95215a,0,1,1,0,0,6.0,4.47,2.0,1.73,1.0,1.0,0,1.5,1.41,9.0,7.48,97.0,93.45,0
e21f7c14dbdf1b50f0bd40a9bb2513362f3fc57d,0,0,0,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.58,37.5,34.99,0
058783755df7b03415841f87b0e9a46ac2f8d021,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.9,44.0,43.95,0
7d8df00195272f8622396a1032a3851e565ee8e4,0,0,0,0,0,6.0,5.92,1.0,1.0,1.0,1.0,0,1.0,1.0,9.5,8.83,99.5,91.32,0
18c8892a74a3e5f13c125e3f3e3fc05a90db76bf,0,1,1,0,0,5.0,5.0,2.0,1.73,1.0,1.0,0,1.0,1.0,8.0,7.75,120.5,98.44,0
f34d09a4650a76c53aeaa587bebb44f664d709d4,0,0,0,0,0,3.0,2.24,2.5,2.0,1.0,1.0,0,1.0,1.0,4.5,3.74,32.5,32.5,1
e79af4c301eeaf49ee2401783faee169f99b829e,0,0,0,0,0,2.0,1.73,2.0,1.73,1.0,1.0,0,1.0,1.0,3.5,3.16,16.5,15.17,1
